Issuer Name,Ticker,Series,Cpn,Maturity,Maturity Type,90D Volatility,Yld to Mty (Mid),Rev Growth,Amount Issued,Amt Out,CDS Recovery Rate,CDS Spread (5yr Mid),Earnings Assets / Interest Bearing Liabililties,S&P Init Rtg Dt,S&P Init Rtg,S&P Outlook,S&P Rating
Commonwealth Bank of Australia,CBAAU,MTN,2.78,10/19/2018,AT MATURITY,0.081386872,2.254689755,0.852541838,1451600000,1357173420,0.4,#N/A N/A,113.8396329,10/8/2015,AA-,NEG,AA-
QNB Finance Ltd,QNBK,#N/A Field Not Applicable,2.75,10/31/2018,AT MATURITY,0.595200896,2.943706873,11.58937307,750000000,750000000,0.25,#N/A N/A,124.6223409,10/24/2013,A+,#N/A N/A,A
National Australia Bank Ltd,NAB,GMTN,4.75,11/25/2019,AT MATURITY,0.442966908,2.524490233,-1.75497395,114487500,114487500,0.4,#N/A N/A,117.5859526,11/22/2013,AA-,NEG,AA-
Bank of America Corp,BAC,EMTN,0.229,9/14/2018,AT MATURITY,0.37985599,-0.040974061,7.04874976,1082475000,787793467.5,0.2,#N/A N/A,131.712137,9/7/2006,A,STABLE,BBB+
JPMorgan Chase & Co,JPM,#N/A Field Not Applicable,3.17188,3/22/2019,CALLABLE,0.620309711,2.622123275,7.975465939,400000000,400000000,0.4,40.0821,134.8625608,3/22/2016,A-,STABLE,A-
Westpac Banking Corp,WSTP,MTN,2.885,1/22/2020,AT MATURITY,0.478919685,2.589088316,-0.340163172,1978620000,1978620000,0.4,#N/A N/A,111.7792018,1/19/2015,AA-,NEG,AA-
JPMorgan Chase & Co,JPM,DIP,3.1561,12/9/2019,AT MATURITY,0.100814715,2.626930762,7.975465939,415850000,415850000,0.4,40.0821,134.8625608,12/31/2014,A,STABLE,A-
UniCredit SpA,UCGIM,EMTN,1.875,1/31/2019,AT MATURITY,0.234297618,-0.110206491,-2.186447839,1332650000,1332650000,0.4,128.6053,190.482983,6/13/2013,AA+,STABLE,A+
Citigroup Inc,C,EMTN,4.375,11/2/2018,AT MATURITY,0.16922386,-0.346505689,6.772995412,638500000,638500000,0.4,49.6902,108.7645895,11/29/2011,A-,STABLE,BBB+
Wells Fargo & Co,WFC,MTn,2.83,8/8/2019,AT MATURITY,0.169823393,2.600036842,3.785465511,463750000,463750000,0.4,47.0664,136.2449198,8/1/2014,A+,STABLE,A-
Mediobanca Banca di Credito Finanziario SpA,BACRED,#N/A Field Not Applicable,2,11/22/2019,AT MATURITY,1.649369836,0.723897486,-24.41799185,135060076,135060076,0.4,154.9286,95.38930845,10/29/2013,BBB,STABLE,BBB
BNP Paribas SA,BNP,EMTN,2,1/28/2019,AT MATURITY,0.191224426,-0.280377291,0.677117288,1336750000,1336750000,0.4,41.4199,165.3775959,8/22/2013,A+,POS,A
Mediobanca Banca di Credito Finanziario SpA,BACRED,EMTN,0,10/30/2018,AT MATURITY,0.708032608,0.712950413,-24.41799185,90753600,90753600,0.4,154.9286,95.38930845,9/5/2012,BBB+,STABLE,BBB
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,2.89125,8/19/2019,AT MATURITY,0.133428425,2.534337742,-0.340163172,500000000,500000000,0.4,#N/A N/A,111.7792018,8/15/2016,AA-,NEG,AA-
National Australia Bank Ltd,NAB,REGS,3.01631,12/9/2019,AT MATURITY,0.130933627,2.556448818,-1.75497395,250000000,250000000,0.4,#N/A N/A,117.5859526,12/9/2014,AA-,NEG,AA-
Westpac Banking Corp,WSTP,EMTN,4,11/6/2019,AT MATURITY,0.42533955,2.490481978,-0.340163172,94390000,94390000,0.4,#N/A N/A,111.7792018,6/26/2014,AA-,NEG,AA-
National Australia Bank Ltd,NAB,144A,2.4,12/9/2019,AT MATURITY,0.572957635,3.047528187,-1.75497395,600000000,600000000,0.4,#N/A N/A,117.5859526,12/7/2014,AA-,NEG,AA-
Societe Generale SA,SOCGEN,EMTN,2.25,1/23/2020,AT MATURITY,0.478335083,-0.151949149,-6.85524278,1663425000,1663425000,0.4,42.4156,137.085116,1/17/2013,A,STABLE,A
Bank of America Corp,BAC,MTN,6.75,8/15/2019,AT MATURITY,0.792690575,3.373568229,7.04874976,125332000,125332000,0.400000006,47.6919,131.712137,7/31/2009,A,STABLE,A-
Commonwealth Bank of Australia,CBAAU,144A,3.13856,11/2/2018,AT MATURITY,0.120038293,2.501372695,0.852541838,500000000,500000000,0.4,#N/A N/A,113.8396329,10/28/2015,AA-,NEG,AA-
Wachovia Corp,WFC,EMTN,4.375,11/27/2018,AT MATURITY,0.275790364,-0.263829808,3.785465511,656050000,656050000,0.2,#N/A N/A,136.2449198,11/15/2006,A,#N/A N/A,BBB+
Commonwealth Bank of Australia,CBAAU,TCD,2.85,10/18/2019,AT MATURITY,0.183833256,2.550036412,0.852541838,1642900000,1642900000,0.4,#N/A N/A,113.8396329,7/16/2014,AA-,NEG,AA-
US Bank NA/Cincinnati OH,USB,BKNT,2.66156,1/24/2020,CALLABLE,0.464731604,2.553231813,5.504748505,400000000,400000000,0.4,#N/A N/A,127.7404008,1/24/2017,AA-,STABLE,AA-
Australia & New Zealand Banking Group Ltd,ANZ,144A,5.1,1/13/2020,AT MATURITY,0.622152328,3.193510835,0.113869911,1250000000,1250000000,0.4,#N/A N/A,111.0764231,1/12/2010,AA,NEG,AA-
Citigroup Inc,C,#N/A Field Not Applicable,3.10863,4/8/2019,AT MATURITY,0.832589984,2.735012358,6.772995412,250000000,250000000,0.4,49.6902,108.7645895,4/3/2014,A-,STABLE,BBB+
US Bank NA/Cincinnati OH,USB,BKNT,2.81888,10/28/2019,CALLABLE,0.855478764,2.590882547,5.504748505,350000000,350000000,0.4,#N/A N/A,127.7404008,10/23/2014,AA-,STABLE,AA-
Westpac Banking Corp,WSTP,EMTn,0.75875,1/9/2019,AT MATURITY,0.12060871,0.954477757,-0.340163172,338175000,338175000,0.4,#N/A N/A,111.7792018,1/3/2018,AA-,NEG,AA-
JPMorgan Chase & Co,JPM,DIp,3.75,12/9/2019,AT MATURITY,0.42637372,2.604193819,7.975465939,187132500,187132500,0.4,40.0821,134.8625608,12/31/2014,A,STABLE,A-
Morgan Stanley,MS,GMTN,5,5/2/2019,AT MATURITY,0.231009394,-0.236618101,15.00171283,680225000,680225000,0.4,52.6796,114.2785657,2/19/2010,A,STABLE,BBB+
Citigroup Inc,C,EMTN,6.25,9/2/2019,AT MATURITY,0.514138758,1.202889277,6.772995412,361563750,284145719.9,0.4,49.6902,108.7645895,9/2/1999,AA-,STABLE,BBB+
Toronto-Dominion Bank/The,TD,#N/A Field Not Applicable,2.49156,10/24/2019,AT MATURITY,0.464773357,2.535679806,10.21195546,300000000,300000000,0.4,#N/A N/A,529.8579664,10/19/2017,AA-,STABLE,AA-
AIB Mortgage Bank,AIB,#N/A Field Not Applicable,3.125,9/10/2018,AT MATURITY,0.215229318,-0.355275242,-5.658783784,663000000,663000000,0.4,#N/A N/A,135.8733939,9/10/2013,A,#N/A N/A,AAA
Westpac Banking Corp,WSTP,MTN,2.94,5/10/2019,AT MATURITY,0.091549963,2.469244401,-0.340163172,1776130000,1776130000,0.4,#N/A N/A,111.7792018,3/9/2016,AA-,NEG,AA-
Commonwealth Bank of Australia,CBAAU,TCD,3.75,10/18/2019,AT MATURITY,0.364626884,2.522502758,0.852541838,469400000,469400000,0.4,#N/A N/A,113.8396329,7/16/2014,AA-,NEG,AA-
Raiffeisen Bank International AG,RBIAV,EMTN,1.875,11/8/2018,AT MATURITY,0.095954984,-0.172459029,14.0156457,668345000,668345000,0.4,#N/A N/A,166.2513703,11/6/2013,A,POS,BBB+
Commonwealth Bank of Australia,CBAAU,REGS,3.00313,11/7/2019,AT MATURITY,0.363222092,2.611101672,0.852541838,500000000,500000000,0.4,#N/A N/A,113.8396329,10/27/2016,AA-,NEG,AA-
Bank of America Corp,BAC,NOTZ,5.8,2/15/2019,AT MATURITY,0.792908549,2.771781114,7.04874976,40047000,40047000,0.400000006,47.6919,131.712137,5/28/2010,A,STABLE,A-
Macquarie Group Ltd,MQGAU,144A,3,12/3/2018,AT MATURITY,0.265511811,2.689914312,-11.87771701,1050000000,1050000000,0.4,#N/A N/A,95.89282895,11/28/2013,BBB,STABLE,BBB
Swedbank AB,SWEDA,MTN,3.145,11/5/2018,AT MATURITY,0.076103002,2.372810576,5.514713014,232310000,232310000,0.400000006,#N/A N/A,170.0941801,10/30/2015,A+,STABLE,AA-
Australia & New Zealand Banking Group Ltd,ANZ,MTN,2.846,1/25/2019,AT MATURITY,0.082683034,2.492333421,0.113869911,977200000,977200000,0.4,#N/A N/A,111.0764231,1/22/2016,AA-,NEG,AA-
Australia & New Zealand Banking Group Ltd,ANZ,EMTN,5.125,12/8/2019,AT MATURITY,0.326799393,2.598270931,0.113869911,84650000,84650000,0.4,#N/A N/A,111.0764231,7/30/2014,AA-,NEG,AA-
Standard Chartered PLC,STANLN,144A,2.4,9/8/2019,AT MATURITY,0.639254391,3.290015152,7.065327653,1000000000,1000000000,0.4,#N/A N/A,221.4619372,9/4/2014,A+,STABLE,BBB+
US Bancorp,USB,MTN,2.73531,4/25/2019,CALLABLE,0.922431827,2.55114541,5.504748505,250000000,250000000,0.4,#N/A N/A,127.7404008,4/22/2014,A+,STABLE,A+
ADCB Finance Cayman Ltd,ADCBUH,MTN,4.75,5/28/2019,AT MATURITY,0.294124603,3.037933141,10.42591712,230700000,230700000,0.25,#N/A N/A,179.6670863,5/21/2014,A,#N/A N/A,A
Morgan Stanley,MS,MTN,3.86906,11/9/2018,AT MATURITY,1.208175778,3.008449169,15.00171283,100000000,100000000,0.4,52.6796,114.2785657,11/10/2010,A,STABLE,BBB+
PNC Bank NA,PNC,#N/A Field Not Applicable,2.71919,12/7/2018,AT MATURITY,0.474561155,2.513392627,9.815502649,400000000,400000000,0.4,#N/A N/A,124.6877472,12/7/2016,A,STABLE,A
Commonwealth Bank of Australia,CBAAU,EMTN,4.375,3/13/2019,AT MATURITY,1.344738245,3.518685393,0.852541838,79054000,79054000,0.4,#N/A N/A,113.8396329,3/9/2018,AA-,NEG,AA-
National Australia Bank Ltd,NAB,144A,2.25,7/1/2019,AT MATURITY,0.416916877,2.790424863,-1.75497395,750000000,750000000,0.4,#N/A N/A,117.5859526,7/1/2014,AA-,NEG,AA-
Swedbank AB,SWEDA,144A,2.375,2/27/2019,AT MATURITY,0.45553717,2.622123763,5.514713014,1000000000,1000000000,0.400000006,#N/A N/A,170.0941801,2/20/2014,A+,STABLE,AA-
Westpac Banking Corp,WSTP,EMTN,5,10/21/2019,AT MATURITY,0.480635613,1.155554066,-0.340163172,1078870000,1078870000,0.4,#N/A N/A,111.7792018,10/18/2009,AA,NEG,AA-
National Australia Bank Ltd,NAB,REGS,2.4,12/9/2019,AT MATURITY,0.566683233,3.072040812,-1.75497395,600000000,600000000,0.4,#N/A N/A,117.5859526,12/9/2014,AA-,NEG,AA-
Australia & New Zealand Banking Group Ltd,ANZ,EMTN,5.25,3/13/2019,AT MATURITY,0.196075261,2.439234983,0.113869911,85370000,85370000,0.4,#N/A N/A,111.0764231,3/5/2014,AA-,NEG,AA-
Mediobanca Banca di Credito Finanziario SpA,BACRED,#N/A Field Not Applicable,0.226,7/1/2019,AT MATURITY,1.00476265,0.432450816,-24.41799185,362979014.4,362979014.4,0.4,154.9286,95.38930845,5/31/2013,BBB+,STABLE,BBB
Bankia SA,BKIASM,#N/A Field Not Applicable,5,6/28/2019,AT MATURITY,1.390510678,-0.23790962,-0.454728167,2154080000,2154080000,0.4,#N/A N/A,165.6904347,4/21/2008,AAA,STABLE,AA-
Deutsche Bank AG/London,DB,EMTN,0,2/4/2019,AT MATURITY,0.347343057,0.537470583,-4.903529627,231336000,62332200,0.4,135.4871,121.3998692,12/17/2008,AA-,STABLE,BBB-
Swedbank AB,SWEDA,GMTN,0.629,1/10/2020,AT MATURITY,0.165034339,-0.216696198,5.514713014,528065000,528065000,0.400000006,#N/A N/A,170.0941801,1/9/2017,AA-,STABLE,AA-
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,2.946,1/17/2019,AT MATURITY,0.1084942,2.464769645,-0.340163172,250000000,250000000,0.4,#N/A N/A,111.7792018,1/13/2014,AA-,NEG,AA-
Australia & New Zealand Banking Group Ltd,ANZ,TCD,2.78,11/11/2019,AT MATURITY,0.684553623,2.583278807,0.113869911,1517950000,1517950000,0.4,#N/A N/A,111.0764231,11/10/2014,AA-,NEG,AA-
Industrial & Commercial Bank of China Ltd/Sydney,ICBCAS,MTN,3.155,5/27/2019,AT MATURITY,0.108656198,2.847784983,5.463711754,288000000,288000000,0.4,#N/A N/A,169.4873458,6/8/2016,A,#N/A N/A,A
National Australia Bank Ltd,NAB,MTN,2.915,2/25/2019,AT MATURITY,0.080766127,2.499233847,-1.75497395,1694350000,1351875000,0.4,#N/A N/A,117.5859526,3/9/2016,AA-,NEG,AA-
Bank of America Corp,BAC,EMTN,0.479,6/19/2019,AT MATURITY,0.145575166,-0.247796095,7.04874976,1362080000,1362080000,0.400000006,47.6919,131.712137,6/16/2014,A-,STABLE,A-
ICICI Bank Ltd/Dubai,ICICI,EMtN,2.75,1/7/2020,AT MATURITY,1.269321203,0.906088002,-1.628353359,108442000,108442000,0.4,#N/A N/A,138.583986,12/31/2012,BBB-,#N/A N/A,BBB-
Westpac Banking Corp,WSTP,EMTN,4.08,12/10/2019,AT MATURITY,1.292027235,2.463372211,-0.340163172,67737075,67737075,0.4,#N/A N/A,111.7792018,1/13/2010,AA,NEG,AA-
Macquarie Group Ltd,MQGAU,144A,7.625,8/13/2019,AT MATURITY,0.540927052,3.336122595,-11.87771701,500000000,500000000,0.4,#N/A N/A,95.89282895,8/13/2009,A-,STABLE,BBB
National Australia Bank Ltd,NAB,GMTN,4.75,9/10/2019,AT MATURITY,0.365221053,2.480484016,-1.75497395,116237500,116237500,0.4,#N/A N/A,117.5859526,9/9/2013,AA-,NEG,AA-
Svenska Handelsbanken AB,SHBASS,#N/A Field Not Applicable,2.82469,6/17/2019,AT MATURITY,0.535094142,2.489527908,2.644889551,400000000,400000000,0.4,#N/A N/A,148.4241427,6/11/2014,AA-,STABLE,AA-
Australia & New Zealand Banking Group Ltd,ANZ,EMTN,5.625,10/22/2019,AT MATURITY,0.308288872,2.585448433,0.113869911,85190000,85190000,0.4,#N/A N/A,111.0764231,10/14/2013,AA-,NEG,AA-
Morgan Stanley,MS,GMTN,6.5,12/28/2018,AT MATURITY,0.236170664,-0.278742015,15.00171283,1172797500,1133156945,0.4,52.6796,114.2785657,6/10/2008,A+,STABLE,BBB+
Industrial & Commercial Bank of China Ltd/Sydney,ICBCAS,Emtn,2.125,12/7/2018,AT MATURITY,0.202214971,3.160820057,5.463711754,300000000,300000000,0.4,#N/A N/A,169.4873458,11/30/2015,A,#N/A N/A,A
Mediobanca Banca di Credito Finanziario SpA,BACRED,#N/A Field Not Applicable,1.5,12/3/2019,AT MATURITY,1.306531668,0.754280947,-24.41799185,54400800,34000500,0.4,154.9286,95.38930845,10/24/2013,BBB,STABLE,BBB
National Australia Bank Ltd,NAB,144A,3.01631,12/9/2019,AT MATURITY,0.156648532,2.582714415,-1.75497395,250000000,250000000,0.4,#N/A N/A,117.5859526,12/7/2014,AA-,NEG,AA-
Morgan Stanley,MS,MTN,3.58919,1/16/2020,AT MATURITY,0.37865293,3.373547528,15.00171283,3000000,3000000,0.4,52.6796,114.2785657,1/3/2013,A-,STABLE,BBB+
Bank of America NA/Australia,BAC,MTN,3.095,11/5/2018,AT MATURITY,0.072933748,2.378876483,7.04874976,607580000,607580000,0.400000006,47.6919,131.712137,11/3/2015,A *+,#N/A N/A,A+
Industrial & Commercial Bank of China Ltd/New York NY,ICBCAS,MTN,2.157,11/13/2018,AT MATURITY,0.161394969,3.117028265,5.463711754,300000000,300000000,0.4,#N/A N/A,169.4873458,11/16/2015,A,#N/A N/A,A
National Australia Bank Ltd,NAB,EMTN,5,9/20/2018,AT MATURITY,0.12863639,2.038966424,-1.75497395,104042000,104042000,0.4,#N/A N/A,117.5859526,9/18/2012,AA-,NEG,AA-
Swedbank AB,SWEDA,GMTN,0.429,3/11/2019,AT MATURITY,0.057930827,-0.290679082,5.514713014,557810000,557810000,0.400000006,#N/A N/A,170.0941801,3/8/2016,AA-,STABLE,AA-
National Australia Bank Ltd,NAB,GMTN,5.625,11/22/2019,AT MATURITY,0.316674352,2.570924463,-1.75497395,122355000,122355000,0.4,#N/A N/A,117.5859526,11/22/2013,AA-,NEG,AA-
Westpac Banking Corp,WSTP,GMTN,4.375,4/16/2019,AT MATURITY,0.253446937,2.405488687,-0.340163172,103720000,103720000,0.4,#N/A N/A,111.7792018,4/11/2013,AA-,NEG,AA-
National Australia Bank Ltd,NAB,REGS,3.11919,1/14/2019,AT MATURITY,0.18259269,2.57433089,-1.75497395,500000000,500000000,0.4,#N/A N/A,117.5859526,1/19/2016,AA-,NEG,AA-
Goldman Sachs Group Inc/The,GS,MTN,3.2342,8/21/2019,AT MATURITY,0.115047805,2.72065828,12.04391175,224150000,224150000,0.4,54.6932,94.06989897,2/19/2014,A-,STABLE,BBB+
Swedbank AB,SWEDA,GMTN,1.625,4/15/2019,AT MATURITY,0.339479595,1.022450812,5.514713014,443910000,443910000,0.400000006,#N/A N/A,170.0941801,4/10/2015,A+,STABLE,AA-
Intesa Sanpaolo SpA/New York NY,ISPIM,YCD,2.966,7/17/2019,AT MATURITY,1.251020789,3.584550022,25.43491837,256000000,256000000,0.4,144.5251,247.6859916,1/12/2018,BBB,#N/A N/A,BBB
JPMorgan Chase & Co,JPM,EMTN,1.875,11/21/2019,AT MATURITY,0.345578104,-0.189557499,7.975465939,1282770000,1282770000,0.4,40.0821,134.8625608,11/16/2012,A,STABLE,A-
Australia & New Zealand Banking Group Ltd,ANZ,144A,2.99506,9/23/2019,AT MATURITY,0.18085964,2.55208888,0.113869911,850000000,850000000,0.4,#N/A N/A,111.0764231,11/27/2016,AA-,NEG,AA-
Wells Fargo & Co,WFC,#N/A Field Not Applicable,2.80706,4/22/2019,AT MATURITY,0.885356128,2.62347355,3.785465511,400000000,400000000,0.4,47.0664,136.2449198,4/16/2014,A+,STABLE,A-
Westpac Banking Corp,WSTP,EMTN,4.875,12/10/2019,AT MATURITY,0.453845173,2.522485611,-0.340163172,91590000,91590000,0.4,#N/A N/A,111.7792018,12/3/2013,AA-,NEG,AA-
Commonwealth Bank of Australia,CBAAU,144A,1.75,11/7/2019,AT MATURITY,0.528109193,3.10843077,0.852541838,1000000000,1000000000,0.4,#N/A N/A,113.8396329,10/27/2016,AA-,NEG,AA-
National Australia Bank Ltd,NAB,144A,2.92144,1/10/2020,AT MATURITY,0.159625456,2.606602954,-1.75497395,250000000,250000000,0.4,#N/A N/A,117.5859526,1/9/2017,AA-,NEG,AA-
Mediobanca Banca di Credito Finanziario SpA,BACRED,0,3,10/2/2019,AT MATURITY,2.127186537,4.089435257,-24.41799185,400000000,395320000,0.4,154.9286,95.38930845,9/26/2014,BBB,STABLE,BBB
Investor AB,INVSA,EMTN,3.25,9/17/2018,AT MATURITY,0.151115656,-0.136000868,26.80012864,391521000,261144507,0.4,#N/A N/A,552.9749978,9/10/2010,AA-,STABLE,AA-
QNB Finance Ltd,QNBK,EMTN,2.51,4/29/2019,AT MATURITY,1.020294785,2.864882762,11.58937307,20625920,20625920,0.25,#N/A N/A,124.6223409,4/26/2016,A+,#N/A N/A,A
Australia & New Zealand Banking Group Ltd,ANZ,TCD,3.75,11/11/2019,AT MATURITY,0.398304164,2.543082451,0.113869911,216850000,216850000,0.4,#N/A N/A,111.0764231,11/10/2014,AA-,NEG,AA-
Westpac Banking Corp,WSTP,EMTN,0.6835,3/19/2019,AT MATURITY,0.130242139,0.954629749,-0.340163172,365222000,365222000,0.4,#N/A N/A,111.7792018,3/13/2018,AA-,NEG,AA-
ICICI Bank Ltd/Bahrain,ICICI,EMTN,6.125,4/3/2019,AT MATURITY,0.27975145,3.488426823,-1.628353359,138315000,138315000,0.4,#N/A N/A,138.583986,3/27/2014,BBB-,#N/A N/A,BBB-
Australia & New Zealand Banking Group Ltd,ANZ,TCD,2.875,11/6/2018,AT MATURITY,0.107866317,2.376592393,0.113869911,1618910000,1618910000,0.4,#N/A N/A,111.0764231,11/5/2013,AA-,NEG,AA-
Morgan Stanley,MS,MTN,4.08188,9/22/2019,AT MATURITY,0.554260552,3.164576333,15.00171283,100000000,100000000,0.4,52.6796,114.2785657,12/8/2010,A,STABLE,BBB+
Goldman Sachs Group Inc/The,GS,EMTN,1.25,9/11/2019,AT MATURITY,0.278747261,-0.291383039,12.04391175,227738000,227738000,0.4,54.6932,94.06989897,3/28/2014,A-,STABLE,BBB+
Bank of America Corp,BAC,MTNB,0,9/25/2018,AT MATURITY,1.972055197,2.114515623,7.04874976,100000000,100000000,0.400000006,47.6919,131.712137,2/1/1999,AA-,STABLE,A-
Commonwealth Bank of Australia,CBAAU,REGS,3.40063,3/15/2019,AT MATURITY,0.158658966,2.554749796,0.852541838,750000000,750000000,0.4,#N/A N/A,113.8396329,3/9/2016,AA-,NEG,AA-
Australia & New Zealand Banking Group Ltd,ANZ,REGS,2.25,12/19/2019,AT MATURITY,0.632859766,3.071076468,0.113869911,400000000,400000000,0.4,#N/A N/A,111.0764231,12/19/2017,AA-,NEG,AA-
ADCB Finance Cayman Ltd,ADCBUH,GMTN,4.4,10/11/2019,AT MATURITY,1.204221964,3.783750652,10.42591712,38667980,38667980,0.25,#N/A N/A,179.6670863,10/10/2016,A,#N/A N/A,A
Australia & New Zealand Banking Group Ltd,ANZ,EMTN,3.99,9/27/2018,AT MATURITY,0.185580269,2.52929106,0.113869911,53281800,53281800,0.4,#N/A N/A,111.0764231,8/23/2013,AA-,NEG,AA-
Australia & New Zealand Banking Group Ltd,ANZ,tCD,4.5,11/6/2018,AT MATURITY,0.13010633,2.278498447,0.113869911,285690000,285690000,0.4,#N/A N/A,111.0764231,11/5/2013,AA-,NEG,AA-
Capital One Bank USA NA,COF,#N/A Field Not Applicable,3.02713,12/9/2019,CALLABLE,0.872363031,2.927390496,9.011955376,355000000,355000000,0.4,23.8212,109.2090676,12/7/2016,BBB+,STABLE,BBB+
Bank of America Corp,BAC,NOTZ,4.85,7/15/2019,AT MATURITY,0.909253597,3.266688387,7.04874976,40446000,40446000,0.400000006,47.6919,131.712137,7/20/2010,A,STABLE,A-
Deutsche Bank AG/London,DB,8,0.47,11/14/2019,AT MATURITY,0.752990067,0.738,-4.903529627,610280500,610280500,0.4,135.4871,121.3998692,11/19/2014,A,STABLE,BBB-
Citicorp Lease Pass-Through Trust 1999-1,C,144A,8.04,12/15/2019,AT MATURITY,0.857325912,3.397651628,6.772995412,307625000,228980000,0.4,49.6902,108.7645895,12/6/1999,AA-,#N/A N/A,BBB+
Banco Santander SA,SANTAN,EMTN,0.625,3/13/2019,AT MATURITY,0.445255369,0.044351953,2.40844333,52457500,52457500,0.4,58.8103,129.7739331,3/2/2015,BBB+,STABLE,A
US Bancorp,USB,MTN,2.8325,11/15/2018,CALLABLE,1.970642567,2.530218079,5.504748505,500000000,500000000,0.4,#N/A N/A,127.7404008,11/6/2013,A+,STABLE,A+
Deutsche Bank AG,DB,#N/A Field Not Applicable,4,6/4/2019,AT MATURITY,1.843872428,0.72058019,-4.903529627,398455750,122704707,0.4,135.4871,121.3998692,5/17/1999,AA,STABLE,BBB+
Australia & New Zealand Banking Group Ltd,ANZ,144A,2.57594,12/19/2019,AT MATURITY,0.166794896,2.55925555,0.113869911,250000000,250000000,0.4,#N/A N/A,111.0764231,12/19/2017,AA-,NEG,AA-
US Bank NA/Cincinnati OH,USB,BKNT,2.74488,4/26/2019,CALLABLE,0.485686541,2.561451291,5.504748505,250000000,250000000,0.4,#N/A N/A,127.7404008,4/22/2016,AA-,STABLE,AA-
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,3.065,5/13/2019,AT MATURITY,0.105625555,2.506693518,-0.340163172,250000000,250000000,0.4,#N/A N/A,111.7792018,5/12/2016,AA-,NEG,AA-
Bank of America Corp,BAC,NOTZ,5.2,2/15/2019,AT MATURITY,27.64247704,2.998521906,7.04874976,29510000,29510000,0.400000006,47.6919,131.712137,5/28/2010,A,STABLE,A-
Mediobanca Banca di Credito Finanziario SpA,BACRED,0,1.074,5/17/2019,AT MATURITY,1.395559072,0.21224675,-24.41799185,32631877.25,32631877.25,0.4,154.9286,95.38930845,3/7/2013,BBB+,STABLE,BBB
Bank of America Corp,BAC,NOTZ,5.15,11/15/2018,AT MATURITY,0.57484591,3.240328616,7.04874976,15690000,15690000,0.400000006,47.6919,131.712137,11/17/2009,A,STABLE,A-
Toronto-Dominion Bank/The,TD,MTN,2.9105,9/17/2018,AT MATURITY,0.04788639,2.229710783,10.21195546,714700000,714700000,0.4,#N/A N/A,529.8579664,9/9/2015,AA-,STABLE,AA-
UniCredit SpA,UCGIM,emtn,2.75,1/31/2020,AT MATURITY,0.471868366,0.121226499,-2.186447839,1328370000,1328370000,0.4,128.6053,190.482983,7/17/2013,AA,STABLE,A+
Wells Fargo & Co,WFC,#N/A Field Not Applicable,2.73563,9/14/2018,AT MATURITY,0.381776541,2.292903088,3.785465511,500000000,500000000,0.4,47.0664,136.2449198,9/16/2014,A+,STABLE,A-
BNP Paribas SA,BNP,EMTN,3.125,6/24/2019,AT MATURITY,0.301579654,1.593830774,0.677117288,125010750,125010750,0.4,41.4199,165.3775959,3/21/2014,A+,POS,A
Barclays PLC,BACR,1,0.623,9/14/2018,AT MATURITY,0.548392951,0.133,-1.680302308,115750320,115750320,0.4,#N/A N/A,142.6946097,9/22/2015,BBB,STABLE,BBB
Westpac Banking Corp,WSTP,MTN,3.25,1/22/2020,AT MATURITY,0.466036558,2.571020541,-0.340163172,262470000,262470000,0.4,#N/A N/A,111.7792018,1/19/2015,AA-,NEG,AA-
CaixaBank SA,CABKSM,#N/A Field Not Applicable,4.625,6/4/2019,AT MATURITY,0.437339306,-0.228639642,2.069222693,3371500000,3371500000,0.4,#N/A N/A,265.3888759,5/30/2007,AAA,STABLE,AA-
Bank of America Corp,BAC,EMTN,4.625,9/14/2018,AT MATURITY,0.19197315,-0.24337496,7.04874976,827775000,797275948.5,0.2,#N/A N/A,131.712137,9/7/2006,A,STABLE,BBB+
Deutsche Bank AG,DB,9,0.56,11/19/2018,AT MATURITY,0.624492109,0.503,-4.903529627,407000500,407000500,0.4,135.4871,121.3998692,11/4/2015,BBB+,STABLE,BBB-
Bank of America NA,BAC,BKNT,3.07919,12/7/2018,AT MATURITY,0.451320976,2.467149776,7.04874976,350000000,350000000,0.400000006,47.6919,131.712137,12/4/2015,A *+,STABLE,A+
Banco Santander SA,SANTAN,EMTN,0,11/14/2018,AT MATURITY,0.407616228,-0.629664638,2.40844333,214970000,214970000,0.4,58.8103,129.7739331,10/28/2016,A-,STABLE,A
Goldman Sachs Group Inc/The,GS,EMTN,4.55,3/16/2019,AT MATURITY,0.13467592,4.611293503,12.04391175,150100140,150100140,0.4,54.6932,94.06989897,3/10/2015,A-,STABLE,BBB+
Commonwealth Bank of Australia,CBAAU,EMTN,5.095,3/2/2019,AT MATURITY,0.543364644,3.747270031,0.852541838,22897200,22897200,0.4,#N/A N/A,113.8396329,2/29/2016,AA-,NEG,AA-
Australia & New Zealand Banking Group Ltd,ANZ,144A,3.08,11/16/2018,AT MATURITY,0.113901697,2.530158211,0.113869911,750000000,750000000,0.4,#N/A N/A,111.0764231,11/18/2015,AA-,NEG,AA-
BNP Paribas SA,BNP,EMTn,6,1/17/2020,AT MATURITY,0.553603292,2.753148405,0.677117288,82590000,82590000,0.4,41.4199,165.3775959,1/15/2014,A+,POS,A
